2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	startTimeSecs          	1.478205830844E9
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	__emit-count           	{}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	memory/nonHeap         	{unusedBytes=1357424, virtualFreeBytes=-50416017, initBytes=2555904, committedBytes=51773440, maxBytes=-1, usedBytes=50416016}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	__process-latency      	{}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	__receive              	{arrival_rate_secs=0.10793308148947653, overflow=0, read_pos=-1, write_pos=0, sojourn_time_ms=9264.999999999998, capacity=1024, population=1}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	__transfer             	{arrival_rate_secs=0.4317323259579061, overflow=0, read_pos=3, write_pos=3, sojourn_time_ms=0.0, capacity=1024, population=0}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	__execute-latency      	{}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	__sendqueue            	{arrival_rate_secs=0.0, overflow=0, read_pos=-1, write_pos=-1, sojourn_time_ms=0.0, capacity=1024, population=0}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	memory/heap            	{unusedBytes=229799848, virtualFreeBytes=814380968, initBytes=268435456, committedBytes=258473984, maxBytes=843055104, usedBytes=28674136}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	__execute-count        	{}
2016-11-03 15:45:05,261 74418    1478205905	localhost:6703	 10:exclaim2   	__emit-count           	{default=1420}
2016-11-03 15:45:05,261 74418    1478205905	localhost:6703	 10:exclaim2   	__process-latency      	{exclaim1:default=1.0}
2016-11-03 15:45:05,261 74418    1478205905	localhost:6703	 10:exclaim2   	__receive              	{arrival_rate_secs=18.62818994293098, overflow=0, read_pos=1147, write_pos=1148, sojourn_time_ms=53.682080924855484, capacity=1024, population=1}
2016-11-03 15:45:05,261 74418    1478205905	localhost:6703	 10:exclaim2   	__transfer-count       	{default=0}
2016-11-03 15:45:05,261 74418    1478205905	localhost:6703	 10:exclaim2   	__ack-count            	{exclaim1:default=60}
2016-11-03 15:45:05,261 74418    1478205905	localhost:6703	 10:exclaim2   	__execute-latency      	{exclaim1:default=1.0}
2016-11-03 15:45:05,261 74418    1478205905	localhost:6703	 10:exclaim2   	__fail-count           	{}
2016-11-03 15:45:05,261 74418    1478205905	localhost:6703	 10:exclaim2   	__sendqueue            	{arrival_rate_secs=0.0, overflow=0, read_pos=-1, write_pos=-1, sojourn_time_ms=0.0, capacity=1024, population=0}
2016-11-03 15:45:05,261 74418    1478205905	localhost:6703	 10:exclaim2   	__execute-count        	{exclaim1:default=100}
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 16:word       	__complete-latency     	{}
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 16:word       	__emit-count           	{default=580}
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 16:word       	__receive              	{arrival_rate_secs=0.21473051320592657, overflow=0, read_pos=1, write_pos=2, sojourn_time_ms=4657.0, capacity=1024, population=1}
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 16:word       	__transfer-count       	{default=580}
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 16:word       	__ack-count            	{}
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 16:word       	__fail-count           	{}
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 16:word       	__sendqueue            	{arrival_rate_secs=9.631784890137453, overflow=1, read_pos=583, write_pos=583, sojourn_time_ms=0.0, capacity=1024, population=0}
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 16:word       	__skipped-inactive     	0
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 16:word       	__skipped-max-spout    	0
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 16:word       	__skipped-throttle     	0
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 13:word       	__complete-latency     	{}
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 13:word       	__emit-count           	{default=600}
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 13:word       	__receive              	{arrival_rate_secs=0.2147074610842727, overflow=0, read_pos=1, write_pos=2, sojourn_time_ms=4657.5, capacity=1024, population=1}
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 13:word       	__transfer-count       	{default=600}
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 13:word       	__ack-count            	{}
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 13:word       	__fail-count           	{}
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 13:word       	__sendqueue            	{arrival_rate_secs=9.642426677380474, overflow=1, read_pos=583, write_pos=583, sojourn_time_ms=0.0, capacity=1024, population=0}
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 13:word       	__skipped-inactive     	0
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 13:word       	__skipped-max-spout    	0
2016-11-03 15:45:05,289 74446    1478205905	localhost:6703	 13:word       	__skipped-throttle     	0
2016-11-03 15:45:05,290 74447    1478205905	localhost:6703	 14:word       	__complete-latency     	{}
2016-11-03 15:45:05,290 74447    1478205905	localhost:6703	 14:word       	__emit-count           	{default=580}
2016-11-03 15:45:05,290 74447    1478205905	localhost:6703	 14:word       	__receive              	{arrival_rate_secs=0.2147074610842727, overflow=0, read_pos=1, write_pos=2, sojourn_time_ms=4657.5, capacity=1024, population=1}
2016-11-03 15:45:05,290 74447    1478205905	localhost:6703	 14:word       	__transfer-count       	{default=580}
2016-11-03 15:45:05,290 74447    1478205905	localhost:6703	 14:word       	__ack-count            	{}
2016-11-03 15:45:05,290 74447    1478205905	localhost:6703	 14:word       	__fail-count           	{}
2016-11-03 15:45:05,290 74447    1478205905	localhost:6703	 14:word       	__sendqueue            	{arrival_rate_secs=9.656976159340106, overflow=1, read_pos=583, write_pos=583, sojourn_time_ms=0.0, capacity=1024, population=0}
2016-11-03 15:45:05,290 74447    1478205905	localhost:6703	 14:word       	__skipped-inactive     	0
2016-11-03 15:45:05,290 74447    1478205905	localhost:6703	 14:word       	__skipped-max-spout    	0
2016-11-03 15:45:05,290 74447    1478205905	localhost:6703	 14:word       	__skipped-throttle     	0
2016-11-03 15:45:05,290 74447    1478205905	localhost:6703	 15:word       	__complete-latency     	{}
2016-11-03 15:45:05,290 74447    1478205905	localhost:6703	 15:word       	__emit-count           	{default=580}
2016-11-03 15:45:05,290 74447    1478205905	localhost:6703	 15:word       	__receive              	{arrival_rate_secs=0.21473051320592657, overflow=0, read_pos=1, write_pos=2, sojourn_time_ms=4657.0, capacity=1024, population=1}
2016-11-03 15:45:05,290 74447    1478205905	localhost:6703	 15:word       	__transfer-count       	{default=580}
2016-11-03 15:45:05,290 74447    1478205905	localhost:6703	 15:word       	__ack-count            	{}
2016-11-03 15:45:05,290 74447    1478205905	localhost:6703	 15:word       	__fail-count           	{}
